# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.400000,0.255807,0.000000,0.000000,-26.562170,48.836937,7.462530,-20.995063,-27.575997,0.132658,-0.000000,-0.000000,25.877177,-76.174447,8.946630,48.524328,49.628525,0.699988,0.000000,-0.000000,0.001707,-0.001205,-0.001061,-0.000557,-0.000219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,-0.248707,-1.372978,5.792828,11.935203,-34.745885,1.225498,15.572672,16.609274,0.210412,-1.530161,-7.043553,24.890968,-6.595458,-15.310716,-5.252713,2.010660,0.700053,0.000334,-0.000049,-0.002830,0.000823,0.001380,0.001112,0.000720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,0.106860,1.685105,-2.905096,-6.882488,8.256670,1.286398,0.029624,0.227894,-0.279445,0.869375,5.110441,-15.080832,17.419224,-3.301576,-10.536088,-9.891700,0.700039,-0.000587,-0.001189,0.002765,0.000849,-0.000642,-0.001172,-0.001108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,0.100646,-1.655845,-2.354002,8.628532,10.843131,-6.196814,-14.160695,-14.273846,0.273564,0.824696,-4.550081,-14.841752,33.650433,10.334069,-14.116968,-23.212508,0.699799,-0.000180,0.001844,0.000603,-0.001845,-0.000981,-0.000331,-0.000012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,-0.253366,1.306006,5.936527,-14.852417,-11.108323,16.097069,21.888688,17.871014,-0.203025,-1.535033,6.145504,16.665325,-71.789722,17.557894,53.229947,51.603830,0.700002,0.000965,0.000038,-0.004354,0.001910,0.003096,0.002596,0.001749,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
